datahora,dia,mes,ano,date,time,bt,mt,at,mat,total
2023-04-28T06:30:00+00:00,28,04,2023,2023-04-28,07:30,543066.340572,490672.2639,212222.8175,84020.5838,1329982.005772
2023-04-29T04:15:00+00:00,29,04,2023,2023-04-29,05:15,456519.92983,348073.8699,199866.9668,79040.9851,1083501.7516299998
2023-04-30T17:15:00+00:00,30,04,2023,2023-04-30,18:15,578298.6004,303597.5699,184854.2817,69271.0427,1136021.4947000002
2023-04-30T22:00:00+00:00,30,04,2023,2023-04-30,23:00,682759.897493,299941.2419,185775.4673,57023.8979,1225500.504593
2023-05-02T14:00:00+00:00,02,05,2023,2023-05-02,15:00,663567.886819,598795.4066,189744.9505,61304.2449,1513412.488819
2023-05-03T10:30:00+00:00,03,05,2023,2023-05-03,11:30,700387.171872,603443.6462,182571.901,93966.0219,1580368.7409720002
2023-05-04T08:15:00+00:00,04,05,2023,2023-05-04,09:15,656054.362399,614721.347,197796.639,71530.9005,1540103.2488989998
2023-05-05T02:45:00+00:00,05,05,2023,2023-05-05,03:45,454280.428479,397086.8467,202508.4,91068.069,1144943.744179
2023-05-05T12:15:00+00:00,05,05,2023,2023-05-05,13:15,681459.080588,522874.7757,195341.6905,62088.9631,1461764.509888
2023-05-06T02:15:00+00:00,06,05,2023,2023-05-06,03:15,470379.936867,366546.2818,201212.1733,81852.8598,1119991.2517670002
2023-05-06T09:30:00+00:00,06,05,2023,2023-05-06,10:30,683886.316109,376959.3188,183788.5129,65835.362,1310469.509809
2023-05-06T10:00:00+00:00,06,05,2023,2023-05-06,11:00,689642.367662,373873.5827,183697.5464,61689.0103,1308902.507062
2023-05-07T10:30:00+00:00,07,05,2023,2023-05-07,11:30,676132.681128,285342.0174,187212.9867,62280.0616,1210967.7468279998
2023-05-10T07:15:00+00:00,10,05,2023,2023-05-10,08:15,608125.352833,559953.9527,199506.2744,60873.9154,1428459.495333
2023-05-10T21:45:00+00:00,10,05,2023,2023-05-10,22:45,735944.666208,467525.3421,204360.9015,71444.5816,1479275.4914079998
2023-05-14T12:00:00+00:00,14,05,2023,2023-05-14,13:00,687046.423997,283867.195,169260.113,81706.7769,1221880.508897
